Region,InstanceType,OnDemand_Hourly,Spot_Hourly,EC2_SP_1yr_Hourly,EC2_SP_3yr_Hourly,Compute_SP_1yr_Hourly,Compute_SP_3yr_Hourly,RI_1yr_NoUpfront,RI_3yr_NoUpfront,RI_1yr_PartialUpfront,RI_3yr_PartialUpfront,RI_1yr_AllUpfront,RI_3yr_AllUpfront
us-east-1,m6id.32xlarge,9.7568,1.1524,,,,,9.7568,9.7568,9.7568,9.7568,9.7568,9.7568
us-east-1,m6id.4xlarge,2.8692,0.3878,,,,,2.8692,2.8692,2.8692,2.8692,2.8692,2.8692
us-east-1,m6id.8xlarge,2.4392,0.7603,,,,,13.8984,13.8984,13.8984,13.8984,13.8984,13.8984
us-east-1,m6id.large,0.59865,0.0416,,,,,0.59865,0.59865,0.59865,0.59865,0.59865,0.59865
us-east-1,m6id.metal,9.7568,1.4168,,,,,55.5936,55.5936,55.5936,55.5936,55.5936,55.5936
us-east-1,m6id.xlarge,0.7173,0.0882,,,,,0.7173,0.7173,0.7173,0.7173,0.7173,0.7173
us-east-1,m6idn.12xlarge,0.0,1.1306,,,,,3.81888,3.81888,3.81888,3.81888,3.81888,3.81888
us-east-1,m6idn.16xlarge,29.09184,2.1123,,,,,29.09184,29.09184,29.09184,29.09184,29.09184,29.09184
us-east-1,m6idn.24xlarge,43.63776,2.3821,,,,,43.63776,43.63776,43.63776,43.63776,43.63776,43.63776
us-east-1,m6idn.2xlarge,0.0,0.3235,,,,,0.77168,0.77168,0.77168,0.77168,0.77168,0.77168
us-east-1,m6idn.32xlarge,58.18368,4.0844,,,,,10.18368,10.18368,10.18368,10.18368,10.18368,10.18368
us-east-1,m6idn.4xlarge,0.0,0.8184,,,,,1.54336,1.54336,1.54336,1.54336,1.54336,1.54336
us-east-1,m6idn.8xlarge,14.54592,1.1698,,,,,14.54592,14.54592,14.54592,14.54592,14.54592,14.54592
us-east-1,m6idn.large,0.15912,0.0489,,,,,0.15912,0.15912,0.15912,0.15912,0.15912,0.15912
us-east-1,m6idn.metal,58.18368,2.8597,,,,,58.18368,58.18368,58.18368,58.18368,58.18368,58.18368
us-east-1,m6idn.xlarge,0.38584,0.1546,,,,,0.79824,0.79824,0.79824,0.79824,0.79824,0.79824
us-east-1,m6in.12xlarge,3.34152,1.5869,,,,,3.34152,3.34152,3.34152,3.34152,3.34152,3.34152
us-east-1,m6in.16xlarge,4.45536,1.9856,,,,,5.53696,5.53696,5.53696,5.53696,5.53696,5.53696
us-east-1,m6in.24xlarge,0.0,2.754,,,,,6.68304,6.68304,6.68304,6.68304,6.68304,6.68304
us-east-1,m6in.2xlarge,3.55692,0.2549,,,,,3.55692,3.55692,3.55692,3.55692,3.55692,3.55692
us-east-1,m6in.32xlarge,8.91072,2.8949,,,,,56.91072,56.91072,56.91072,56.91072,56.91072,56.91072
us-east-1,m6in.4xlarge,3.03384,0.8874,,,,,3.03384,3.03384,3.03384,3.03384,3.03384,3.03384
us-east-1,m6in.8xlarge,2.22768,1.3077,,,,,2.22768,2.22768,2.22768,2.22768,2.22768,2.22768
us-east-1,m6in.large,0.20683,0.0539,,,,,0.20683,0.20683,0.20683,0.20683,0.20683,0.20683
us-east-1,m6in.metal,24.27072,2.6472,,,,,11.07392,11.07392,11.07392,11.07392,11.07392,11.07392
us-east-1,m6in.xlarge,0.27846,0.1336,,,,,0.27846,0.27846,0.27846,0.27846,0.27846,0.27846
us-east-1,m7a.12xlarge,0.0,0.7253,,,,,2.78208,2.78208,2.78208,2.78208,2.78208,2.78208
us-east-1,m7a.16xlarge,3.70944,1.3407,,,,,3.70944,3.70944,3.70944,3.70944,3.70944,3.70944
us-east-1,m7a.24xlarge,7.18656,1.4018,,,,,7.18656,7.18656,7.18656,7.18656,7.18656,7.18656
us-east-1,m7a.2xlarge,1.42368,0.205,,,,,1.42368,1.42368,1.42368,1.42368,1.42368,1.42368
us-east-1,m7a.32xlarge,55.41888,1.9467,,,,,9.58208,9.58208,9.58208,9.58208,9.58208,9.58208
us-east-1,m7a.48xlarge,34.16832,2.3892,,,,,34.16832,34.16832,34.16832,34.16832,34.16832,34.16832
us-east-1,m7a.4xlarge,1.19776,0.3458,,,,,1.19776,1.19776,1.19776,1.19776,1.19776,1.19776
us-east-1,m7a.8xlarge,0.0,0.6771,,,,,1.85472,1.85472,1.85472,1.85472,1.85472,1.85472
us-east-1,m7a.large,0.59592,0.0369,,,,,0.18352,0.18352,0.18352,0.18352,0.18352,0.18352
us-east-1,m7a.medium,0.0,0.0191,,,,,0.12556,0.12556,0.12556,0.12556,0.12556,0.12556
us-east-1,m7a.metal-48xl,14.37312,1.6217,,,,,14.37312,14.37312,14.37312,14.37312,14.37312,14.37312
us-east-1,m7a.xlarge,1.73184,0.0764,,,,,0.23184,0.23184,0.23184,0.23184,0.23184,0.23184
us-east-1,m7g.12xlarge,1.9584,0.5612,,,,,1.9584,1.9584,1.9584,1.9584,1.9584,1.9584
us-east-1,m7g.16xlarge,2.6112,0.7298,,,,,2.6112,2.6112,2.6112,2.6112,2.6112,2.6112
us-east-1,m7g.2xlarge,0.3264,0.1035,,,,,0.3264,0.3264,0.3264,0.3264,0.3264,0.3264
us-east-1,m7g.4xlarge,0.0,0.2422,,,,,0.6528,0.6528,0.6528,0.6528,0.6528,0.6528
us-east-1,m7g.8xlarge,1.3056,0.4853,,,,,1.3056,1.3056,1.3056,1.3056,1.3056,1.3056
us-east-1,m7g.large,0.0816,0.0299,,,,,0.0816,0.0816,0.0816,0.0816,0.0816,0.0816
us-east-1,m7g.medium,0.0408,0.0152,,,,,0.0408,0.0408,0.0408,0.0408,0.0408,0.0408
us-east-1,m7g.metal,2.6112,0.593,,,,,2.6112,2.6112,2.6112,2.6112,2.6112,2.6112
us-east-1,m7g.xlarge,0.0,0.0513,,,,,0.1632,0.1632,0.1632,0.1632,0.1632,0.1632
us-east-1,m7gd.12xlarge,0.0,0.6299,,,,,2.5628,2.5628,2.5628,2.5628,2.5628,2.5628
us-east-1,m7gd.16xlarge,0.0,0.4696,,,,,3.4171,3.4171,3.4171,3.4171,3.4171,3.4171
us-east-1,m7gd.2xlarge,0.0,0.2225,,,,,0.4271,0.4271,0.4271,0.4271,0.4271,0.4271
us-east-1,m7gd.4xlarge,0.0,0.3855,,,,,0.8543,0.8543,0.8543,0.8543,0.8543,0.8543
us-east-1,m7gd.8xlarge,1.7086,0.7648,,,,,1.7086,1.7086,1.7086,1.7086,1.7086,1.7086
us-east-1,m7gd.large,0.1068,0.0536,,,,,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068
us-east-1,m7gd.medium,0.0,0.0121,,,,,0.0534,0.0534,0.0534,0.0534,0.0534,0.0534
