priceType,skuName,productName,retailPrice,unitOfMeasure,location,meterName,reservationTerm,currencyCode,armRegionName,serviceName
,E32-8s v3 Low Priority,Virtual Machines ESv3 Series Windows,1.44,1 Hour,US East 2,E32-8s v3 Low Priority,,USD,eastus2,Virtual Machines
,E32-8s v3 Low Priority,Virtual Machines ESv3 Series Windows,0.426,1 Hour,US East 2,E32-8s v3 Low Priority,,USD,eastus2,Virtual Machines
,E96ads v5,Virtual Machines Eadsv5 Series,6.288,1 Hour,US East 2,E96ads v5,,USD,eastus2,Virtual Machines
,E96ads v5,Virtual Machines Eadsv5 Series,32499.0,1 Hour,US East 2,E96ads v5,1 Year,USD,eastus2,Virtual Machines
,E96ads v5,Virtual Machines Eadsv5 Series,62794.0,1 Hour,US East 2,E96ads v5,3 Years,USD,eastus2,Virtual Machines
,E8ds v4 Low Priority,Virtual Machines Edsv4 Series Windows,0.378,1 Hour,US East 2,E8ds v4 Low Priority,,USD,eastus2,Virtual Machines
,E8ds v4 Low Priority,Virtual Machines Edsv4 Series Windows,0.115,1 Hour,US East 2,E8ds v4 Low Priority,,USD,eastus2,Virtual Machines
,F4 Spot,Virtual Machines F Series,0.042924,1 Hour,US East 2,F4/F4s Spot,,USD,eastus2,Virtual Machines
,E64-16as v5,Virtual Machines Easv5 Series,3.616,1 Hour,US East 2,E64-16as v5,,USD,eastus2,Virtual Machines
,E64-16as v5,Virtual Machines Easv5 Series,18689.0,1 Hour,US East 2,E64-16as v5,1 Year,USD,eastus2,Virtual Machines
,E64-16as v5,Virtual Machines Easv5 Series,36111.0,1 Hour,US East 2,E64-16as v5,3 Years,USD,eastus2,Virtual Machines
,Standard_M176-88ds_3_v3 Low Priority,Virtual Machines Mdsv3 Medium Memory Series Windows,9.2192,1 Hour,US East 2,Standard_M176-88ds_3_v3 Low Priority,,USD,eastus2,Virtual Machines
,Standard_M176-88ds_3_v3 Low Priority,Virtual Machines Mdsv3 Medium Memory Series Windows,3.8,1 Hour,US East 2,Standard_M176-88ds_3_v3 Low Priority,,USD,eastus2,Virtual Machines
,D32nlds v6,Virtual Machines Dnldv6 Series Linux,2.312,1 Hour,US East 2,D32nlds v6,,USD,eastus2,Virtual Machines
,F8as v6,Virtual Machines Fasv6 Series,0.546,1 Hour,US East 2,F8as v6,,USD,eastus2,Virtual Machines
,F8as v6,Virtual Machines Fasv6 Series,2968.0,1 Hour,US East 2,F8as v6,1 Year,USD,eastus2,Virtual Machines
,F8as v6,Virtual Machines Fasv6 Series,5600.0,1 Hour,US East 2,F8as v6,3 Years,USD,eastus2,Virtual Machines
